Title,Location,Price,Area
Apartment Oostenburgermiddenstraat,                        1018 LC Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                    €2,250 per month                ",99 m²
Apartment Oostenburgermiddenstraat,                        1018 LC Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                    €2,750 per month                ",105 m²
House Saxenburgerstraat,                        1054 KR Amsterdam (Overtoomse Sluis)        ,"                    €4,500 per month                ",150 m²
Apartment Herengracht,                        1016 BE Amsterdam (Grachtengordel-West)        ,"                    €2,450 per month                ",70 m²
Apartment J.J. Viottastraat 32 II,                        1071 JS Amsterdam (Museumkwartier)        ,"                    €3,250 per month                ",109 m²
House Van Boshuizenstraat 431,                        1082 AR Amsterdam (Buitenveldert-Oost)        ,"                    €3,000 per month                ",163 m²
Apartment Brouwersgracht 58,                        1013 GX Amsterdam (Haarlemmerbuurt)        ,"                    €12,000 per month                ",252 m²
Apartment Wethouder Frankeweg,                        1098 KZ Amsterdam (Middenmeer)        ,"                    €2,700 per month                ",160 m²
House Keizersgracht 372,                        1016 GA Amsterdam (Grachtengordel-West)        ,"                    €5,995 per month                ",244 m²
Apartment Wethouder Frankeweg 4 2,                        1098 KZ Amsterdam (Middenmeer)        ,"                    €2,700 per month                ",160 m²
Apartment Gustav Mahlerlaan 74,                        1082 ME Amsterdam (Zuidas)        ,"                    €2,210 per month                ",180 m²
Apartment Elzenhagensingel,                        1022 LA Amsterdam (Elzenhagen)        ,"                    €1,400 per month                ",77 m²
Apartment Elzenhagensingel,                        1022 LA Amsterdam (Elzenhagen)        ,"                    €1,205 per month                ",70 m²
Apartment Bijlmerdreef,"                        1103 TA Amsterdam (Bijlmer Oost (E,G,K))        ","                    €2,000 per month                ",135 m²
Apartment Saskia van Uijlenburgkade 116,                        1058 GA Amsterdam (Westlandgracht)        ,"                    €2,700 per month                ",100 m²
Apartment Stadionweg,                        1077 ST Amsterdam (Apollobuurt)        ,"                    €2,245 per month                ",120 m²
Apartment Saxen-Weimarlaan 12 a,                        1075 CB Amsterdam (Willemspark)        ,"                    €2,250 per month                ",86 m²
Apartment Lindengracht 45 2,                        1015 KC Amsterdam (Jordaan)        ,"                    €1,650 per month                ",38 m²
Apartment Koningin Wilhelminaplein,                        1062 KS Amsterdam (Westlandgracht)        ,"                    €2,100 per month                ",91 m²
Apartment Dalsteindreef,"                        1102 XA Amsterdam (Bijlmer Centrum (D,F,H))        ","                    €1,013 per month                ",44 m²
Apartment Spadinalaan 120,                        1031 KB Amsterdam (Noordelijke IJ-oevers West)        ,"                    €1,725 per month                ",110 m²
Apartment Peelstraat 16,                        1079 RN Amsterdam (Scheldebuurt)        ,"                    €1,150 per month                ",62 m²
House Jacob Groenplantsoen,                        1035 MA Amsterdam (Oostzanerwerf)        ,"                    €2,950 per month                ",165 m²
House Durgerdammergouw 2 F3,                        1028 BT Amsterdam (Waterland)        ,"                    €3,500 per month                ",140 m²
Apartment Oudeschans 62,                        1011 LD Amsterdam (Nieuwmarkt/Lastage)        ,"                    €6,900 per month                ",190 m²
Apartment Joos Banckersplantsoen,                        1056 LD Amsterdam (Landlust)        ,"                    €2,000 per month                ",124 m²
Apartment Zeeburgerdijk,                        1094 AJ Amsterdam (Indische Buurt West)        ,"                    €3,250 per month                ",175 m²
Apartment Admiraal De Ruijterweg 64 2,                        1056 GM Amsterdam (Geuzenbuurt)        ,"                    €1,700 per month                ",75 m²
House Alexander Boersstraat 15,                        1071 KT Amsterdam (Museumkwartier)        ,"                    €10,000 per month                ",290 m²
House Kuipersstraat 170,                        1073 EV Amsterdam (Nieuwe Pijp)        ,"                    €1,250 per month                ",27 m²
