Title,Location,Price,Area
Apartment Curaçaostraat 117 3,                        1058 BT Amsterdam (Westindische Buurt)        ,"                    €1,500 per month                ",62 m²
Apartment Herengracht,                        1017 BP Amsterdam (Grachtengordel-Zuid)        ,"                    €1,400 per month                ",45 m²
Apartment Admiraal De Ruijterweg,                        1056 GD Amsterdam (Landlust)        ,"                    €1,675 per month                ",70 m²
Apartment Olympiaweg 18 I,                        1076 VX Amsterdam (Stadionbuurt)        ,"                    €2,350 per month                ",90 m²
Apartment Reguliersgracht,                        1017 LZ Amsterdam (De Weteringschans)        ,"                    €1,500 per month                ",50 m²
Apartment Leliegracht,                        1015 DE Amsterdam (Grachtengordel-West)        ,"                    €1,675 per month                ",60 m²
Apartment Pieter Cornelisz. Hooftstraat,                        1071 BX Amsterdam (Museumkwartier)        ,"                    €2,300 per month                ",68 m²
Apartment Narva-eiland 160,                        1014 ZJ Amsterdam (Houthavens)        ,"                    €1,750 per month                ",61 m²
Apartment Zeedijk,                        1012 AZ Amsterdam (Burgwallen-Oude Zijde)        ,"                    €1,350 per month                ",45 m²
Apartment Van Walbeeckstraat 3 HS,                        1058 CE Amsterdam (Westindische Buurt)        ,"                    €1,454 per month                ",60 m²
Apartment Krom Boomssloot 59 E,                        1011 GS Amsterdam (Nieuwmarkt/Lastage)        ,"                    €2,850 per month                ",125 m²
Apartment Vosmaerstraat 4 hs,                        1054 TB Amsterdam (Overtoomse Sluis)        ,"                    €2,500 per month                ",104 m²
Apartment Ferdinand Bolstraat,                        1072 LB Amsterdam (Oude Pijp)        ,"                    €1,600 per month                ",50 m²
Apartment Koninginneweg,                        1075 CV Amsterdam (Willemspark)        ,"                    €3,500 per month                ",115 m²
Apartment Loenermark,                        1025 VP Amsterdam (Buikslotermeer)        ,"                    €1,450 per month                ",40 m²
Apartment Kloekhorststraat,"                        1104 MP Amsterdam (Bijlmer Oost (E,G,K))        ","                    €1,095 per month                ",50 m²
Apartment Lijnbaansgracht,                        1016 XA Amsterdam (Jordaan)        ,"                    €1,900 per month                ",64 m²
Apartment Kerkstraat 303 M,                        1017 GZ Amsterdam (Grachtengordel-Zuid)        ,"                    €1,950 per month                ",81 m²
Apartment Ferdinand Bolstraat 143 1,                        1072 LH Amsterdam (Nieuwe Pijp)        ,"                    €1,750 per month                ",62 m²
Apartment Henrick de Keijserplein 16,                        1073 SX Amsterdam (Zuid Pijp)        ,"                    €1,650 per month                ",56 m²
Apartment Keizersgracht,                        1017 DT Amsterdam (Grachtengordel-Zuid)        ,"                    €2,975 per month                ",87 m²
Apartment Sumatrastraat 170 D,                        1094 NP Amsterdam (Indische Buurt West)        ,"                    €1,700 per month                ",72 m²
Apartment Hoofdweg,                        1056 DB Amsterdam (Van Galenbuurt)        ,"                    €1,650 per month                ",55 m²
Apartment Vleutenstraat,                        1106 CX Amsterdam (Gein)        ,"                    €1,650 per month                ",89 m²
Apartment Eef Kamerbeekstraat 376,                        1095 MP Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                    €1,400 per month                ",51 m²
Apartment Kinderdijkstraat 76 III,                        1079 GN Amsterdam (Rijnbuurt)        ,"                    €1,850 per month                ",75 m²
Apartment Marquette,                        1081 AH Amsterdam (Buitenveldert-West)        ,"                    €2,475 per month                ",94 m²
Apartment Sprinklerstraat 15,                        1019 VR Amsterdam (Oostelijk Havengebied)        ,"                    €3,200 per month                ",100 m²
Apartment Koggestraat 11 2,                        1012 TA Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                    €1,950 per month                ",75 m²
Apartment Lange Leidsedwarsstraat 59 I,                        1017 NH Amsterdam (De Weteringschans)        ,"                    €1,550 per month                ",40 m²
Apartment William Barlowlaan,                        1086 ZR Amsterdam (IJburg West)        ,"                    €3,200 per month                ",216 m²
